|Year|Brand|Company|Date|ProductDescription|Reason|Url|
|2019|Aurobindo Pharma USA, Inc.|Aurobindo Pharma USA, Inc.|12/31/19|Mirtazapine Tablets 7.5 mg|Due to a label error on declared strength-bottles labeled as Mirtazapine 7.5 mg|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/aurobindo-pharma-usa-inc-issues-voluntary-nationwide-recall-mirtazapine-tablets-lot-number|
|2019|None|Meijer|12/31/19|Hard-boiled eggs|Product has the potential to be contaminated with Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/meijer-recalls-diced-hard-boiled-eggs-due-potential-health-risks-product-bought-two-stores-grand|
|2019|Sienna Bakery|Dianne's Fine Desserts|12/31/19|Chocolate Turtle Brownie|May contain undeclared peanuts|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/diannes-fine-desserts-issues-allergy-alert-undeclared-peanut-allergen-product-sienna-turtle-brownie|
|2019|MiniMeal2Go|FiveStar Gourmet Foods|12/31/19|Protein pack and avocado toast|Potential to be contaminated with Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/fivestar-gourmet-foods-voluntary-recalls-fresh-snack-products-due-possible-health-risk|
|2019|Cece's Veggie Co.|Veggie Noodle Co.|12/28/19|Veggie Ramen with Chicken Broth|Product has the potential to be contaminated with Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/veggie-noodle-co-recalls-ceces-brand-product-because-possible-health-risk|
|2019|Sprout Unlimited|Sprouts Unlimited|12/27/19|Clover Sprouts|May be contaminated with Escherichia coli O103 bacteria|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/sprouts-unlimited-inc-recalling-clover-sprouts-4-ounce-packages-due-possible-health-risk|
|2019|Pro2Snax To The Max|Reichel Foods Inc.|12/26/19|Snack kits containing hard boiled eggs|Product has the potential to be contaminated with Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/reichel-foods-inc-recalls-egg-containing-products-because-possible-health-risk|
|2019|Dierbergs Kitchen|Dierbergs Markets|12/24/19|Salads and Remoulade|Product has the potential to be contaminated with Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/dierbergs-markets-recalls-egg-containing-products-because-possible-health-risk|
|2019|Great American Deli|Great American Deli|12/24/19|Egg salad sandwiches|Product has the potential to be contaminated with Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/great-american-deli-announces-product-recall-due-possible-listeria-contamination|
|2019|Trader Joe's|Bakkavor Foods USA|12/23/19|Egg salad and potato salad|Product has the potential to be contaminated with Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/bakkavor-foods-usa-inc-issues-voluntary-recall-trader-joes-egg-salad-and-potato-salad-because|
|2019|Almark, 7 Select, Best Choice, more|Almark Foods|12/23/19|All hard-boiled eggs manufactured at the firm's Gainesville, Georgia facility, including all retail, pillow pack, pouch pack, frozen diced, and protein kit products|Potential to be contaminated with Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/almark-foods-expanded-recall-all-products-its-georgia-facility-due-possible-listeria-monocytogenes|
