|Year|Brand|Company|Date|ProductDescription|Reason|Url|
|2022|Full Circle Market &#x26; Naturally Better|Garden of Light dba Bakery on Main|12/30/2022|Oat &#x26; Honey Organic Granola|Food &#x26; Beverages|Undeclared almonds|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/garden-light-dba-bakery-main-voluntarily-recalls-oat-honey-organic-granola-due-potential-almond||
|2022|Tohato|Daiso California LLC|12/30/2022|Nagewa Snack|Food &#x26; Beverages, Allergens, Snack Food Item|Undeclared milk|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/daiso-issues-allergy-alert-undeclared-milk-tohato-nagewa-snack||
|2022|Caesar&#x2019;s Pasta &#x26; Orefresco|Caesar&#x2019;s Pasta, LLC|12/29/2022|Frozen manicotti|Food &#x26; Beverages|Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/caesars-pasta-llc-recalls-frozen-manicotti-because-possible-health-risk||
|2022|Sun Sprouts|SunSprout Enterprises|12/29/2022|Alfalfa Sprouts|Food &#x26; Beverages, Foodborne Illness, Produce|Salmonella|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/sunsprout-enterprises-voluntarily-expands-recall-four-lots-alfalfa-sprouts-due-potential||
|2022|Sun Sprouts|SunSprout Enterprises|12/29/2022|Alfalfa Sprouts|Food &#x26; Beverages, Foodborne Illness, Produce|Salmonella|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/sunsprout-enterprises-voluntarily-recalls-two-lots-alfalfa-sprouts-due-potential-contamination||
|2022|Accord|Accord Healthcare, Inc|12/27/2022|Daptomycin for Injection|Drugs|Mislabeling|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/accord-healthcare-inc-issues-nationwide-voluntary-recall-daptomycin-injection-500-mgvial-and||
|2022|Multiple brand names|GFA Production|12/27/2022|After Burn&#xae; Cream and First Aid Kits containing After Burn Cream|Drugs|Product is contaminated with Bacillus licheniformis and Bacillus sonorensis.|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/gfa-production-xiamen-co-ltd-issues-voluntary-nationwide-recall-easy-care-first-aidr-burn-cream-and||
|2022|Hospira, Inc.|Hospira, Inc.|12/27/2022|Vancomycin Injection|Drugs|Presence of Visible Glass Particulates|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/hospira-inc-issues-voluntary-nationwide-recall-one-lot-vancomycin-hydrochloride-injection-usp||
|2022|Melissa&#x2019;s|World Variety Produce, Inc.|12/23/2022|Pasta Para Duros|Food &#x26; Beverages|Undeclared Wheat|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/world-variety-produce-inc-voluntarily-recalls-melissas-pasta-para-duros-12oz-because-it-contains||
|2022|Wegmans Organic|Wegmans Food Markets, Inc.|12/23/2022|Microgreens, sweet pea leaves, cat grass|Food &#x26; Beverages|Potential presence of Salmonella|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/wegmans-food-markets-inc-announces-voluntary-recall-products-containing-micro-greens-sweet-pea||
|2022|True Goodness|Meijer|12/22/2022|Plain Yogurt Alternative|Food &#x26; Beverages|Undeclared Tree Nuts|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/meijer-announces-allergy-alert-undeclared-almonds-true-goodness-oat-based-plain-yogurt-alternative||
|2022|Lupin|Lupin Pharmaceuticals Inc.|12/21/2022|Quinapril 20 and 40 mg tablets|Drugs|Presence of nitrosamine impurity, N-Nitroso-Quinapril|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/lupin-pharmaceuticals-inc-issues-voluntary-nationwide-recall-four-lots-quinapril-tablets-due||
|2022|Alpha|The Miso Brothers Inc|12/21/2022|Frozen Burritos|Food &#x26; Beverages|Undeclared Milk|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/alpha-foods-issues-product-recall-due-undeclared-milk-meatless-burritos-breakfast-sandwiches||
|2022|Alsultan|Falcon Import and Export LLC|12/20/2022|Baklava and Betefour|Food &#x26; Beverages|Undeclared Milk and Tree Nuts|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/falcon-import-and-export-llc-issues-allergy-alert-undeclared-milk-wheat-mixed-alsultan-branded||
|2022|Top of the Rockies|Manzanola Feeds|12/16/2022|Alfalfa Cubes|Animal &#x26; Veterinary, Livestock Feed|Potential to be contaminated with Clostridium botulinum|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/manzanola-feeds-recalling-certain-lots-top-rockies-alfalfa-cubes-due-possible-clostridium-botulinum||
|2022|HEB TEXAS PETS|TFP Nutrition|12/16/2022|HEB TEXAS PETS Indoor Complete Dry Cat Food|Animal &#x26; Veterinary, Food &#x26; Beverages|Potential Salmonella contamination|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/tfp-nutrition-initiated-voluntary-recall-16-lb-bags-heb-texas-pets-indoor-complete-dry-cat-food||
|2022|World Market|Something South African LLC|12/15/2022|Pepper Collection Gift Set|Food &#x26; Beverages|Mold &#x28;Aspergillus brasiliensis&#x29; and Ochratoxin A contamination|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/something-south-african-llc-recalls-peppercorn-collection-gift-set-because-possible-health-risk||
