|Year|Brand|Company|Date|ProductDescription|Reason|Url|
|2024|Great Value|John B Sanfilippo &#x26; Son, Inc.|03/13/2024|Honey Roasted Cashews|Food &#x26; Beverages|Undeclared milk and coconut allergens|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/john-b-sanfilippo-son-inc-issues-allergy-alert-undeclared-coconut-and-milk-great-value-honey-roasted||
|2024|Par Pharmaceutical|Endo International, Par Pharmaceutical|03/12/2024|Treprostinil 20mg&#x2f;20mL Injection|Drugs|Potential Presence of Silicone Particulate Matter|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/par-pharmaceutical-issues-voluntary-nationwide-recall-one-lot-treprostinil-injection-due-potential||
|2024|Wesco Fresh|Wesco, Inc.|03/11/2024|Mint No Bake Cookies|Food &#x26; Beverages|Undeclared Peanut Allergen|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/wesco-inc-issues-voluntary-recall-and-allergy-alert-undeclared-peanut-wesco-mint-no-bake-cookie||
|2024|KALO|KALO Foods, LLC|03/08/2024|Single Slices of Carrot Cake &#x26; Chocolate Cake|Food &#x26; Beverages|Potential or Undeclared Allergen - Soy|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/expanded-press-release-kalo-foods-llc-recalls-single-slice-carrot-cake-and-chocolate-cake-due||
|2024|La Fiesta|La Fiesta Food Products|03/08/2024|Ground Cinnamon|Food &#x26; Beverages|Potential Metal Contaminant - Lead|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/la-fiesta-food-products-recalls-cinnamon-ground-because-possible-health-risk||
|2024|SWAD|Raja Foods LLC|03/07/2024|Cinnamon Powder|Food &#x26; Beverages|Potential Metal Contaminant - Lead|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/raja-foods-skokie-il-recalling-swad-brand-cinnamon-powder-35oz-retail-packs-possible-lead||
|2024|Stonewall Kitchen|Stonewall Kitchen|03/07/2024|Gluten Free Cinnamon Sugar Doughnut Mix|Food &#x26; Beverages|Potential or Undeclared Allergen - Wheat|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/stonewall-kitchen-issues-allergy-alert-wheat-limited-quantity-gluten-free-cinnamon-sugar-doughnut||
|2024|El Chilar|El Chilar Rodriguez LLC|03/06/2024|Ground Cinnamon &#x201c;Canela Molida&#x201d;|Food &#x26; Beverages|Potential Metal Contaminant - Lead|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/el-chilar-rodriguez-llc-issues-voluntary-recall-el-chilar-ground-cinnamon-canela-molida-due-elevated||
|2024|AJI MORI|AJI MORI Sauce Corp. DBA Susi Koo|03/06/2024|CHILLIMAMI SAUCE|Food &#x26; Beverages|Potential Foodborne Illness - Clostridium botulinum|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/aji-mori-sauce-corp-dba-sushi-koo-issues-voluntary-recall-chillimami-sauce||
|2024|Colonna|Colonna Brothers, Inc.|03/06/2024|Marcum Ground Cinnamon &#x26; Supreme Tradition Ground Cinnamon|Food &#x26; Beverages, Contaminants, Spices, Flavors&#xa0;&#x26; &#xa0;Salts|Elevated Lead Levels|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/colonna-brothers-inc-issues-voluntary-recall-15oz-marcum-ground-cinnamon-225oz-supreme-tradition||
